headers.general.status-code,headers.general.status-message,headers.general.request-url,headers.general.http-request-method,eo.meta.http-request-number,eo.meta.http-request-uuid,eo.meta.http-request-round-id,eo.meta.urltype,eo.meta.re-area,eo.meta.execution-id,eo.meta.request-start-timestamp,eo.meta.request-end-timestamp,eo.meta.http-protocol-version,eo.meta.tls-version,eo.meta.cdn-header-name,eo.meta.cdn-header-value,eo.meta.cdn-cache-status,eo.meta.duration-ms,eo.meta.ttfb-ms,eo.meta.actual-content-length,eo.meta.redirect-count,eo.meta.retry-attempts,eo.security.csp_present,eo.security.hsts_present,eo.security.hsts_value,eo.security.is_https,eo.security.permissions_policy_present,eo.security.referrer_policy_present,eo.security.x_content_type_options_present,eo.security.x_content_type_options_value,eo.security.x_frame_options_present,eo.security.x_xss_protection_present,headers.request-headers.accept-language,headers.request-headers.user-agent,headers.request-headers.x-eo-re,headers.response-headers.cf-ray,headers.response-headers.cache-control,headers.response-headers.connection,headers.response-headers.content-encoding,headers.response-headers.content-type,headers.response-headers.date,headers.response-headers.nel,headers.response-headers.report-to,headers.response-headers.server,headers.response-headers.strict-transport-security,headers.response-headers.transfer-encoding,headers.response-headers.x-content-type-options,headers.response-headers.alt-svc,headers.response-headers.cf-cache-status,headers.response-headers.expires,headers.response-headers.last-modified,headers.response-headers.link,headers.response-headers.pragma,headers.response-headers.vary,waitSeconds,eo.re.eviction-alert,headers.response-headers.accept-ranges,headers.response-headers.content-length,headers.response-headers.etag,headers.response-headers.age
200,OK,https://4649-24.com/,GET,1,317d7cda-e664-4175-821e-39dcf3feca8d,1772691736,main_document,ap-northeast-1,2c6d7553-92e0-4f67-b177-a65f903cbb7b,1772691739,1772691740,HTTP/1.1,TLSv1.0,cf-ray,9d77068cee3b4eaa-NRT,HIT,2337.92,254.02,126624,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d77068cee3b4eaa-NRT,"no-store, must-revalidate",keep-alive,zstd,text/html; charset=UTF-8,"Thu, 05 Mar 2026 06:22:19 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=yNa9qSF0z1ybhg6FsWQw95cdAlX17Kf3fdiy2yu5s8qEXl2Gwtx1Et6qufEByl5CvOPIDgDB8Sol9%2Bpg8LpW1uwMHnoEy2QSASAA""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,chunked,nosniff,"h3="":443""; ma=86400",HIT,0,"Tue, 03 Mar 2026 14:39:34 GMT","<https://4649-24.com/wp-json/>; rel=""https://api.w.org/"", <https://4649-24.com/wp-json/wp/v2/pages/21124>; rel=""alternate""; title=""JSON""; type=""application/json"", <https://4649-24.com/>; rel=shortlink",no-cache,Accept-Encoding,2.827,⚠️ FRESH: Just Created,,,,
200,OK,https://4649-24.com/wp-content/uploads/2025/09/PageSpeedInsightsPerfect-20250915-1428-nishi_labo.jpg.webp,GET,2,8f412b6c-c988-4177-84cb-3f20436bcbab,1772691736,asset,ap-northeast-1,075483e3-428f-497b-b4d8-258fa9825c95,1772691743,1772691743,HTTP/1.1,TLSv1.0,cf-ray,9d7706a12e337352-NRT,MISS,222.2,221.23,21976,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706a12e337352-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,,image/webp,"Thu, 05 Mar 2026 06:22:22 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=sMQot6cGk0nTkTB7Ca9nJmIYW4B1iU3pYyVpoeo8IZGsW8phv54hTVTHvxv83lluXNY8JC%2Brz7DlTkep6R7UbuzZX54hVnb%2B0Q%3D%3D""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,,nosniff,"h3="":443""; ma=86400",MISS,"Fri, 05 Mar 2027 06:22:22 GMT","Sun, 21 Sep 2025 16:29:33 GMT",,,,1.239,⚠️ EVICTED: Cache Lost,bytes,21976,"""55d8-63f5235385885""",
200,OK,https://4649-24.com/wp-content/uploads/2025/09/PageSpeedInsightsPerfect-20250915-1428-nishi_labo-412x289.jpg.webp,GET,3,bcf2300c-b241-4b3f-8516-f16c97d59747,1772691736,asset,ap-northeast-1,736e0f24-58ab-4610-ad8c-c908881d3e91,1772691744,1772691745,HTTP/1.1,TLSv1.0,cf-ray,9d7706aba824d743-NRT,HIT,175.09,174.76,9176,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706aba824d743-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,,image/webp,"Thu, 05 Mar 2026 06:22:24 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=6ndkj6cYAUqjHB4e%2FPWxWueTU30nwQG4zkeuPdVmOuU8Zd4AyL%2BxNvC8ZIHzU6C46bIMJFsf5Ehywjtd63rzNFRL6mfdJgrTLLjK""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,,nosniff,"h3="":443""; ma=86400",HIT,"Wed, 03 Mar 2027 18:43:52 GMT","Sun, 21 Sep 2025 16:29:33 GMT",,,,1.128,⚠️ FRESH: Just Created,bytes,9176,"""23d8-63f52353ff9b3""",
200,OK,https://4649-24.com/wp-content/uploads/2025/09/PageSpeedInsightsPerfect-20250915-1428-nishi_labo-768x540.jpg.webp,GET,4,c1c8e1df-9392-47b5-9824-4944bcac91ff,1772691736,asset,ap-northeast-1,c59fa1a9-696e-46f1-8705-a290c4349e7b,1772691746,1772691746,HTTP/1.1,TLSv1.0,cf-ray,9d7706b4aebcd5ce-NRT,MISS,208.75,206,19138,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706b4aebcd5ce-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,,image/webp,"Thu, 05 Mar 2026 06:22:26 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=v68vxfFYLONI2GCO%2Fp5QpQ7VwiagE3Wyy9JwaIf40eHJBcFyTss8OpSWeSumeALl6%2FpEPJH7%2F2GuHTISdWgxT%2BRm5fjkfe31GdOU""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,,nosniff,"h3="":443""; ma=86400",MISS,"Fri, 05 Mar 2027 06:22:26 GMT","Sun, 21 Sep 2025 16:29:33 GMT",,,,3.154,⚠️ EVICTED: Cache Lost,bytes,19138,"""4ac2-63f52353f4dd2""",
200,OK,https://4649-24.com/wp-content/uploads/2025/08/cropped-にしラボ_site_icon_512512.png,GET,5,900659d1-be23-47d8-b532-91d0234cb145,1772691736,asset,ap-northeast-1,a1014a85-4a70-49ff-87ea-30ea865cc1cc,1772691749,1772691750,HTTP/1.1,TLSv1.0,cf-ray,9d7706caaedfeb70-NRT,MISS,229.29,228.99,3981,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706caaedfeb70-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,,image/png,"Thu, 05 Mar 2026 06:22:29 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=xbFAWF7Om343pnEO94K8dhcrDquns%2B%2B1QHwFo5DNZoriCzeyBWttDlnVkTVZQoNdS1QQB7PzvQc1S6UhmfMhCrfZ9RWAEI8x8c9k""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,,nosniff,"h3="":443""; ma=86400",MISS,"Fri, 05 Mar 2027 06:22:29 GMT","Fri, 01 Aug 2025 10:19:39 GMT",,,,3.652,⚠️ EVICTED: Cache Lost,bytes,3981,"""f8d-63b4b1879a347""",
200,OK,https://4649-24.com/wp-content/themes/lightning/_g3/assets/css/style-theme-json.css,GET,6,324667f3-a2a9-4575-af22-ccf96fc9d48c,1772691736,asset,ap-northeast-1,15ba4461-65c6-4edb-a6e0-d290b9f66830,1772691753,1772691754,HTTP/1.1,TLSv1.0,cf-ray,9d7706e3ca2afcc4-NRT,HIT,196.29,182.86,138094,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706e3ca2afcc4-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,zstd,text/css,"Thu, 05 Mar 2026 06:22:33 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=7lvPGLFtp1NtEjOTWA8iaIMoI2AojF3SnxfTtOx893iiDShP4oTWik00ohB79IvHs6rDkH3VTVUeKS33SJ0FMM1yX5tNlDPPUA%3D%3D""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,chunked,nosniff,"h3="":443""; ma=86400",HIT,"Sun, 28 Feb 2027 08:34:34 GMT","Sat, 10 Jan 2026 10:11:11 GMT",,,Accept-Encoding,1.954,⚠️ FRESH: Just Created,,,"W/""21b6e-64805dc7eff36""",
200,OK,https://4649-24.com/wp-content/uploads/2025/09/post-img-psi-score-perfect-20250915-nishi-labo.jpg,GET,7,690703c2-d78b-4162-bd34-920736739d83,1772691736,asset,ap-northeast-1,c3564703-af85-4d3a-bf76-133b7b60f4b5,1772691756,1772691756,HTTP/1.1,TLSv1.0,cf-ray,9d7706f22ca431a1-NRT,MISS,206.7,198.07,73196,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706f22ca431a1-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,,image/jpeg,"Thu, 05 Mar 2026 06:22:35 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=WaPghYaBo6wyLvrJxogrbqlWDtg1qw9ZcXonGxbIAVyCJsrgBDs%2FIzlp8GloTHhsNKWHOM08Nnx9Wfx6fgi%2Bv%2B%2FdLmQLAGF%2BO9Q2""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,,nosniff,"h3="":443""; ma=86400",MISS,"Fri, 05 Mar 2027 06:22:35 GMT","Mon, 15 Sep 2025 13:17:53 GMT",,,,1.35,⚠️ EVICTED: Cache Lost,bytes,73196,"""11dec-63ed6d4c6765e""",
200,OK,https://4649-24.com/wp-content/plugins/vk-all-in-one-expansion-unit/assets/css/vkExUnit_style.css,GET,8,9389d4a6-96b1-4743-aab0-f05315e2a8b6,1772691736,asset,ap-northeast-1,cc7a014a-d4d9-406d-a7e4-558089aae4fe,1772691757,1772691758,HTTP/1.1,TLSv1.0,cf-ray,9d7706fcca5facf2-NRT,MISS,213.07,212.71,21193,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7706fcca5facf2-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,zstd,text/css,"Thu, 05 Mar 2026 06:22:37 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=79W9Qs1x2y%2BSKQJ889r2b6ZGAd%2BOlK9V5OGcSTSmOV6IBMLSklqdtiR%2BOB%2BvcYkov5J0hMDN19wFvdZv8hk5r67zDusoL6Ksxz6V""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,chunked,nosniff,"h3="":443""; ma=86400",MISS,"Fri, 05 Mar 2027 06:22:37 GMT","Wed, 04 Feb 2026 05:16:06 GMT",,,Accept-Encoding,2.571,⚠️ EVICTED: Cache Lost,,,"W/""52c9-649f8a7374e3d""",
200,OK,https://4649-24.com/wp-content/plugins/vk-all-in-one-expansion-unit/assets/images/to-top-btn-icon.svg,GET,9,8602fd06-f9bc-434f-91af-8f9b782c9f85,1772691736,asset,ap-northeast-1,c2472145-24c7-49a2-84dd-d1bf12ca83c6,1772691760,1772691761,HTTP/1.1,TLSv1.0,cf-ray,9d77070f0d474881-NRT,MISS,203.6,203.3,501,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d77070f0d474881-NRT,"public, max-age=31536000, immutable, no-store",keep-alive,zstd,image/svg+xml,"Thu, 05 Mar 2026 06:22:40 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=W3%2FgK35TxnPQogdH%2BRRBd%2B1GzwRpXb1uz2Ma672KcEIStJozq7bLduoYmFAA0Ry5Hr%2B4B6f1LrTxYF9cNcG7%2BVmqufpTPumRQvuc""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,chunked,nosniff,"h3="":443""; ma=86400",MISS,,"Wed, 04 Feb 2026 05:16:06 GMT",,,,3.729,⚠️ EVICTED: Cache Lost,,,"W/""1f5-649f8a7375ddd""",
200,OK,https://4649-24.com/wp-content/plugins/vk-all-in-one-expansion-unit/inc/sns/icons/fonts/vk_sns.eot,GET,10,d9837de5-5792-4c54-8eab-8c549d5cd362,1772691736,asset,ap-northeast-1,f7961020-30ec-4065-9049-213b5e279494,1772691764,1772691765,HTTP/1.1,TLSv1.0,cf-ray,9d7707288b50e379-NRT,MISS,208.3,207.99,3292,0,0,FALSE,TRUE,max-age=31536000; includeSubDomains; preload,TRUE,FALSE,FALSE,TRUE,nosniff,FALSE,FALSE,"ja,ja-JP;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",aws,9d7707288b50e379-NRT,no-store,keep-alive,zstd,application/vnd.ms-fontobject,"Thu, 05 Mar 2026 06:22:44 GMT","{""report_to"":""cf-nel"",""success_fraction"":0.0,""max_age"":604800}","{""group"":""cf-nel"",""max_age"":604800,""endpoints"":[{""url"":""https://a.nel.cloudflare.com/report/v4?s=PW6cPVoLpWYvyc7vbxAsnCbmIoEK21fdU%2BZtlBdJQK3t0JFDKPBYwionuBqjDaN7tT%2B1PIP%2FuGfw0A59%2FNTmav4ai5Ny6KQSW27K""}]}",cloudflare,max-age=31536000; includeSubDomains; preload,chunked,nosniff,"h3="":443""; ma=86400",MISS,,"Wed, 04 Feb 2026 05:16:06 GMT",,,,1.226,⚠️ EVICTED: Cache Lost,,,"W/""cdc-649f8a7391360""",
